-1.93;1.65;89.70;202940.64;3129.04
-1.80;1.82;89.62;202938.70;3129.51
-1.88;1.98;89.70;202939.75;3130.13
-1.98;1.88;89.82;202935.91;3129.69
-2.38;2.08;90.19;202938.21;3129.91
-2.55;2.00;90.47;202932.70;3130.66
-2.54;1.96;90.48;202935.31;3130.51
-2.56;1.79;90.51;202935.93;3130.47
-2.36;1.71;90.18;202935.32;3130.38
-1.75;1.74;89.32;202941.68;3130.38
-1.26;2.00;88.69;202937.84;3130.28
-1.35;2.20;88.87;202940.49;3130.53
-1.10;2.12;88.47;202942.98;3130.70
-0.76;1.75;88.08;202937.88;3130.30
-0.84;1.52;88.29;202938.86;3130.89
-0.64;1.06;88.05;202938.22;3130.03
-1.31;0.91;88.87;202940.25;3131.21
-1.90;0.89;89.53;202939.08;3131.70
-1.95;0.98;89.62;202944.34;3132.13
-1.83;1.21;89.52;202940.24;3132.21
-1.98;1.63;89.69;202942.28;3132.33
-1.85;2.10;89.58;202936.47;3132.75
-2.14;2.22;89.93;202939.15;3131.79
-2.66;2.13;90.44;202939.34;3132.06
-2.68;1.91;90.52;202938.42;3132.09
-2.41;1.84;90.29;202936.48;3131.98
-2.44;2.11;90.26;202937.40;3131.98
-2.55;1.85;90.43;202938.74;3131.83
-2.59;1.76;90.41;202940.52;3131.94
-2.43;1.45;90.21;202941.87;3131.27
-2.52;1.56;90.38;202944.65;3131.77
-2.58;1.70;90.42;202939.23;3131.94
-2.21;1.89;90.06;202936.78;3131.27
-2.56;1.96;90.39;202941.17;3131.78
-2.59;1.93;90.42;202936.35;3131.98
-2.77;1.89;90.63;202941.56;3132.13
-2.24;1.82;90.14;202943.80;3132.10
-2.13;1.93;89.98;202935.33;3132.17
-1.91;1.97;89.76;202936.27;3132.61
-1.54;2.05;89.39;202938.87;3132.68
-1.45;2.10;89.17;202939.58;3132.55
-1.54;2.13;89.22;202931.44;3132.75
-1.65;2.11;89.40;202939.45;3133.06
-1.73;2.01;89.54;202937.62;3133.08
-1.95;1.89;89.74;202941.94;3132.72
-2.15;1.74;90.01;202939.77;3131.96
-2.31;1.85;90.20;202936.79;3131.87
-2.09;2.00;89.84;202934.15;3131.76
-2.08;1.88;89.89;202940.60;3131.18
-2.52;1.79;90.44;202940.36;3130.79
-2.56;1.62;90.50;202940.48;3130.08
-2.59;1.60;90.48;202939.68;3129.75
-2.42;1.52;90.21;202937.01;3129.07
-2.27;1.59;89.98;202933.75;3128.43
-2.17;1.69;89.90;202938.52;3127.84
-1.83;1.96;89.39;202938.66;3127.47
-1.38;2.33;88.81;202934.21;3126.91
-0.67;2.38;87.96;202932.20;3126.17
-0.76;2.32;88.06;202932.48;3126.46
-1.08;2.26;88.46;202939.84;3126.92
-1.63;2.15;89.18;202936.93;3126.67
-1.94;2.23;89.61;202934.94;3126.92
-1.44;2.24;89.09;202932.64;3126.74
-0.95;2.11;88.53;202933.62;3126.46
-0.74;1.94;88.26;202934.92;3126.21
-0.76;1.72;88.17;202935.51;3125.81
-0.61;1.30;88.01;202935.15;3124.58
-1.10;1.22;88.61;202937.15;3124.39
-1.28;1.24;88.71;202928.81;3124.20
-1.44;1.37;88.98;202932.99;3123.91
-1.47;1.50;89.00;202934.68;3123.49
-1.46;1.40;89.04;202929.80;3123.17
-1.72;1.38;89.32;202934.21;3122.97
-2.06;1.28;89.68;202936.76;3122.87
-2.23;1.20;89.95;202931.83;3123.16
-1.85;1.30;89.60;202935.71;3122.83
-1.26;1.69;88.93;202936.38;3123.16
-0.09;1.91;87.62;202934.45;3122.58
-0.02;2.25;87.62;202932.00;3122.79
-0.02;2.41;87.57;202935.91;3122.97
-0.20;2.37;87.65;202933.04;3122.98
-0.34;2.40;87.76;202936.78;3123.09
-0.57;2.13;88.06;202932.26;3123.09
-1.29;2.06;88.99;202934.42;3123.45
-1.58;1.99;89.27;202935.70;3123.58
-0.95;1.84;88.42;202935.43;3124.04
-0.48;1.81;87.82;202935.02;3124.33
-0.46;1.80;87.70;202937.29;3124.55
-0.88;1.98;88.28;202933.00;3124.59
-1.01;2.15;88.38;202936.30;3124.41
-0.37;2.20;87.49;202933.06;3124.83
-0.25;2.63;87.39;202934.13;3124.84
-0.60;2.64;87.89;202934.11;3124.91
-1.22;2.69;88.68;202934.98;3124.74
-1.73;2.69;89.31;202934.25;3124.78
-1.57;2.64;89.14;202934.73;3125.13
-1.21;2.74;88.75;202936.50;3124.82
-0.80;2.74;88.30;202933.42;3124.42
-0.05;2.69;87.51;202933.10;3124.38
0.32;2.58;87.09;202935.09;3124.88
-0.14;2.62;87.65;202929.50;3124.65
-0.56;2.43;88.14;202932.12;3124.10
-0.71;2.28;88.37;202930.39;3123.91
-1.13;2.30;88.82;202930.36;3123.86
